Story Heading,Story Excerpt,Timestamp,Section
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Pakistan,Shehzad Roy is campaigning to make corporal treatment a crime in Pakistan,"Roy says corporal punishment affected the same part of the brain as the one affected by severe physical, sexual abuse.","21 Feb, 2020 02:43pm"
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Pakistan,What is Shatrughan Sinha doing in Lahore?,"We'd ask him but he'd just say, 'Khamosh!'","20 Feb, 2020 12:14pm"
,,,
,,,
,,,
,,,
Newspaper,Stocks end four-week losing streak with modest gains,"KSE 100 index shows a token gain of 100 points and closes at 40,243.","16 Feb, 2020 08:42am"
,,,
,,,
,,,
Pakistan,Young markhor set free after treatment,The age of the male markhor is three years measured by the length of its horns.,"01 Feb, 2020 09:24am"
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Pakistan,Some of the important things AG Mansoor did in the govt’s service were by accident,He has left a gaping hole in the govt’s attempt at pretending that the Justice Isa reference is about transparency.,"29 Feb, 2020 08:06am"
,,,
,,,
,,,
,,,
Pakistan,Usman Mukhtar's short film Bench is heading to California,The film stars Rubya Chaudhry along with Mukhtar and explores the struggles of a young couple.,"20 Feb, 2020 03:44pm"
Newspaper,"Azam, Hasnain lead Gladiators to victory over United",The Gladiators get over the line with nine balls to spare.,"21 Feb, 2020 07:35am"
,,,
,,,
,,,
,,,
,,,
,,,
Pakistan,Case registered against Chitral man for spreading rumours about coronavirus emergence in Pakistan,FIR has been lodged under Section 16 of the Maintenance of Public Order Ordinance.,"04 Feb, 2020 07:50pm"
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Pakistan,Emergency declared in KP to deal with coronavirus threat,"The health department says that 10 medical students, who arrived from China on Monday, were screened.","04 Feb, 2020 02:43pm"
,,,
,,,
,,,
Pakistan,"I felt like it was my responsibility to be a part of Ishq Zahe Naseeb, says Sonya Hussyn","The actor gets candid about making an impact, her fans and why certain (read: misogynistic) scripts don't appeal to her.","03 Feb, 2020 01:26pm"
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Newspaper,FBR intensifies investigation involving 25 politicians,Benami properties worth over Rs8 billion in Punjab and Sindh being probed.,"16 Feb, 2020 07:35am"
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
World,Timeline: Events leading up to the Feb 2019 Pak-India aerial combat,What were the events that brought India and Pakistan to the brink of war two years ago?,"27 Feb, 2021 07:32am"
,,,
,,,
,,,
,,,
,,,
Pakistan,11th edition of Karachi Literature Festival begins,Federal education minister says there will be one curriculum across the country by next April.,"29 Feb, 2020 10:26am"
,,,
,,,
,,,
,,,
Pakistan,Lal Masjid cordoned off once again after deadline to vacate expires,Move comes after the deadline given to cleric to vacate mosque expired and ahead of the Turkish president’s visit.,"13 Feb, 2020 10:23am"
,,,
,,,
,,,
,,,
,,,
