Story Heading,Story Excerpt,Timestamp,Section
Pakistan,Khosa says judges quote literature to decorate their verdicts,Second Adab Festival begins at Arts Council.,"01 Feb, 2020 09:14am"
Pakistan,Why Pakistan loses its best,This is the story of Pakistan’s most recognised mathematician and why we finally lost him.,"01 Feb, 2020 08:11am"
Newspaper,Engro cuts urea prices by Rs160 per bag,Another manufacturer likely to reduce rates by Rs300.,"01 Feb, 2020 11:07am"
Newspaper,Hot money inflows soar to $2.9bn,SBP data shows foreign investors have increased their investment in the country’s treasury bills.,"01 Feb, 2020 11:11am"
Newspaper,Revenue shortfall rises to Rs387bn,"According to provisional figures, the tax body has collected Rs2.41tr against the target of Rs2.79tr.","01 Feb, 2020 10:55am"
Pakistan,SC upholds FSC ruling against induction of non-civil servants as press officers in foreign missions,The Information Group Officers Association expresses relief over the judgement.,"01 Feb, 2020 10:15am"
Pakistan,"Four new cases of polio detected in Sindh, Punjab","The children are residents of Jacobabad, Mirpurkhas, and Dera Ghazi Khan.","01 Feb, 2020 10:49am"
Newspaper,Countries tighten travel curbs to virus-hit China,"Deaths from the outbreak rise to 213, all within China where the coronavirus came from animals in central Wuhan city.","01 Feb, 2020 08:57am"
Pakistan,Formation of new  bodies annoys PTI’s  disgruntled allies,Imran asks KP CM to give another chance to sacked ministers.,"01 Feb, 2020 10:50am"
Newspaper,Britain sees ‘new dawn’  in farewell to EU,Britain becomes the first country to leave the 28-member bloc.,"01 Feb, 2020 08:54am"
Newspaper,Pakistan’s debt surges by 40pc in 15 months,"In a statement laid before parliament, finance ministry admits to debt limit violations.","01 Feb, 2020 03:50pm"
Pakistan,National emergency declared against locusts,The decision is taken at a meeting convened by Prime Minister Imran Khan at the PM Office.,"01 Feb, 2020 08:20am"
Newspaper,Website Review: Track migrations and seasons,"Seasons change. We notice it when the scorching sun sizzles the day, when leaves fall, when it’s cold and we wear...","01 Feb, 2020 06:28am"
Newspaper,Art Corner,"Published in Dawn, Young World, February 1st, 2020","01 Feb, 2020 06:28am"
Newspaper,Book review: Geronimo Stilton — Mouse in Space!,"Take a good look at the cover — yes, the book is about a mouse going into space.","01 Feb, 2020 06:28am"
Newspaper,Story Time: The Black Sea,"Once upon a time there was an ogre called Nanagh, who loved to live on his own.","01 Feb, 2020 06:28am"
Newspaper,The weekly weird,Adorable puppy dubbed Disney princess,"01 Feb, 2020 06:28am"
Newspaper,Spotlight,Disney developing photo-real Bambi movie,"01 Feb, 2020 06:28am"
Newspaper,Cook-it-yourself: Cheesy chicken patties,Puff pasties are easy to use and they cook very fast so they make for the perfect ingredient to always stock in your...,"01 Feb, 2020 06:28am"
Newspaper,Movie review: Dolittle,This is not the first time a film featuring Dr Dolittle has made it to the theatres...,"01 Feb, 2020 06:28am"
Newspaper,Poet's Corner,"Published in Dawn, Young World, February 1st, 2020","01 Feb, 2020 06:28am"
Newspaper,Story Time: The blaze that killed all,"“Hey, koala! Watch out!” the jet black horse with glistening pure skin screamed...","01 Feb, 2020 06:28am"
Newspaper,Mailbox,"Twins, yet worlds apart","01 Feb, 2020 06:28am"
Newspaper,Unique libraries,If you need to check a reference or want to read one of your favourite writers’ latest book but do not want to buy...,"02 Feb, 2020 07:45am"
World,Police kill suspect in ‘terrorism-related’ London stabbings,"Two people injured in incident, confirm metropolitan police.","02 Feb, 2020 10:58pm"
Pakistan,Karachi police detain 33 PTM workers in anticipation of 'law and order situation',"Hours earlier, protesters demanding release of AWP activists were detained by police in Faisalabad.","03 Feb, 2020 12:23pm"
World,Thailand sees apparent success treating coronavirus with drug cocktail,"The 71-year-old patient tested negative for the virus after being given a concoction of anti-virals, says official.","02 Feb, 2020 07:25pm"
,PM Imran to depart on two-day visit to Malaysia tomorrow,This will be the premier's second visit to Malaysia since assuming office.,"02 Feb, 2020 06:48pm"
Sport,"Novak Djokovic tops Dominic Thiem for 8th Australian Open title, 17th Slam","Djokovic is the first man in the professional era to win a major in each of three decades — the 2000s, 2010s and 2020s.","02 Feb, 2020 06:42pm"
Pakistan,Pakistani doctor hailed for volunteering to treat coronavirus patients in Wuhan,"""China provided me with opportunities for education and employment. I cannot forget that,"" says Dr Usman Janjua.","02 Feb, 2020 06:01pm"
Pakistan,"Amid hue and cry, PTI's chief whip in Senate hints at scrapping proposal to bump lawmakers' pay","Several leaders of the ruling and opposition parties had opposed the proposal, citing ""economic crisis"".","02 Feb, 2020 05:16pm"
Pakistan,Senate chairman asks MQM-P convener to consider returning to federal cabinet,Senate Chairman Sadiq Sanjrani meets with MQM-P leadership in Karachi.,"02 Feb, 2020 02:55pm"
World,Did The Simpsons predict the Corona Virus outbreak? Fans say yes,A 1993 episode of the comedy showed the Osaka Flu which looks way too familiar now.,"03 Feb, 2020 03:01pm"
Pakistan,This glazed baked chicken will be the star of your dinner party,"Succulent and tender from the inside and golden, glossy and crisp on the outside... sounds eggcellent doesn't it?","02 Feb, 2020 01:00pm"
