Story Heading,Story Excerpt,Timestamp,Section
World,"UK one of first countries to start vaccinating its population, approves shots from 'next week'",British regulators are also considering another shot made by AstraZeneca and Oxford University.,"02 Dec, 2020 03:10pm"
World,Sunny Deol tests positive for coronavirus,The Bollywood actor turned politician said he's doing fine and is isolating,"02 Dec, 2020 12:19pm"
World,Trump teases 2024 run at White House Christmas party,"“It’s been an amazing four years; we're trying to do another four years,"" he says.","02 Dec, 2020 04:56pm"
Pakistan,Eighth Covid case hits Pakistan cricketers in New Zealand,NZ health says team not allowed to train together until doctors were confident it would not lead to more coronavirus cases.,"02 Dec, 2020 11:34am"
Pakistan,"Meet Kashmir's first female rapper, a voice for the people’s struggles and political consciousness","Mehak Ashraf aka Menime is not a seasoned voice, but is only 19, and articulates the suppressed feelings of the next generation.","02 Dec, 2020 11:23am"
World,Juno actor Elliot Page comes out as transgender,"In the Instagram post, Page said he would use he/they pronouns.","02 Dec, 2020 10:12am"
Pakistan,The ongoing political confrontation is taking the country to a perilous dead end,A dialogue between political forces is the only way out of the present political stand-off.,"02 Dec, 2020 08:28am"
Newspaper,Desperate in Dubai,All of those who were undergoing the licensing process for Dubai have been left without answers.,"02 Dec, 2020 08:34am"
Business,Editorial: No effort to increase collection can succeed without reforming the income tax regime,The shrinking share of income tax in tax revenues should be a cause of concern for policymakers.,"02 Dec, 2020 07:59am"
Newspaper,Karachi industry slams low gas pressure,Heads of industry associations say they are struggling to meet export orders.,"02 Dec, 2020 09:54am"
Newspaper,Delayed connections pile up as Discos seek 86-paisa tariff hike,Nepra questions distribution companies on backlog despite claims of low demand.,"02 Dec, 2020 09:52am"
Newspaper,"Exports rise 7.2pc to $2.15bn, says Razak",Exports during the month under review were the highest in 30 months since peaking at $2.227bn in May 2018.,"02 Dec, 2020 09:51am"
Newspaper,Inflation eases to 8.3pc in November,The prices of essential food items have seen consistent increase over the last couple of months.,"02 Dec, 2020 09:47am"
Newspaper,Australia not panicking over Starc’s dip in form: Finch,Mitchell Starc struggles have raised concerns leading into the four-Test series starting on Dec 17 in Adelaide.,"02 Dec, 2020 11:03am"
Pakistan,SC seeks report on 10 billion tree tsunami initiative,"Orders halting of all commercial, construction activities on mountainous range of Kalar Kahar.","02 Dec, 2020 08:53am"
Pakistan,Sarina appears in SC with plea against PM,Seeks court's order for removing PM Imran from office for allegedly not disclosing his children’s assets in his tax returns.,"02 Dec, 2020 08:49am"
Pakistan,ECP  defers all by-polls till Jan 31,By-polls are due on two National Assembly and six provincial assembly constituencies.,"02 Dec, 2020 08:44am"
Newspaper,Fuel loading starts for nuclear power plant testing,"Commercial operations for the 1,100MW nuclear power plant in Karachi will begin in April 2021.","02 Dec, 2020 08:41am"
Newspaper,Azerbaijani troops hoist flag in district given up by Armenia under peace deal,"Armenia has agreed to hand over the three districts — Aghdam, Lachin and Kalbajar — as part of the November deal.","02 Dec, 2020 09:42am"
Newspaper,Twitter rejects Australian call to remove Chinese official’s tweet about troops,Australian Prime Minister Scott Mor­rison has called the tweet “repugnant”.,"02 Dec, 2020 09:39am"
Newspaper,Chinese spacecraft lands on moon,The mission aims to collect lunar material to help scientists learn more about the moon’s origins.,"02 Dec, 2020 09:34am"
Newspaper,Four killed as car ploughs into pedestrians in Germany,Police have arrested one suspect.,"02 Dec, 2020 09:28am"
Newspaper,Iran’s parliament approves bill to stop nuclear inspections,The vote was a show of defiance after the killing of a prominent Iranian nuclear scientist last month.,"02 Dec, 2020 09:22am"
Newspaper,"UN seeks $35bn to help vulnerable, including $285m for Pakistan",The UN and partner organisations have listed 160 million people across 56 countries as the most vulnerable.,"02 Dec, 2020 09:16am"
Pakistan,Launch of four-year BS programme ordered in all colleges,KP CM Mahmood Khan has also directed to introduce an e-transfer policy to ensure transparency in posting of teachers.,"02 Dec, 2020 10:50am"
Pakistan,Protesters want FIR withdrawn against organisers of PDM rally,ANP president Aimal Wali Khan says such tactics won't frighten party workers.,"02 Dec, 2020 10:47am"
Pakistan,"NAB summons Fazl’s close aide, father over assets inquiry",JUI-F district information secretary Noor Asghar Wazir and Gul Asghar Wazir have been issued notices.,"02 Dec, 2020 10:43am"
Pakistan,Policy ready to launch rapid antigen testing,"We are encouraging rapid tests as they will be helpful to isolate confirmed patients at the earliest, says official.","02 Dec, 2020 10:33am"
Pakistan,Pims employees decide to suspend services from today,Decision taken after govt ignores demand to withdraw the Medical Teaching Institution Ordinance.,"02 Dec, 2020 10:36am"
Pakistan,SC adjourns hearing of appeals in Daniel Pearl murder case,The apex court is hearing appeals challenging the acquittal of the accused persons by the Sindh High Court.,"02 Dec, 2020 10:28am"
Pakistan,"Indoor dining in hotels, restaurants banned in Islamabad","Restaurants and hotels will, however, be allowed to serve food and takeaway in open areas.","02 Dec, 2020 10:25am"
Pakistan,Submission before LHC: Conflicting PU reports about lawyer’s LLB result rile CJ,An earlier report filed by the university’s examination branch last month had cleared the lawyer's degree.,"02 Dec, 2020 10:13am"
Pakistan,PDM leaders will meet in Islamabad on 8th to decide way forward: Fazl,Former prime minister Yousuf Raza Gilani says Bilawal will attend the Lahore rally scheduled for Dec 13.,"02 Dec, 2020 10:10am"
Pakistan,"Buzdar approves road authority, bus terminal",The Punjab chief minister has asked the transport dept to submit the design by December 10.,"02 Dec, 2020 10:07am"
Pakistan,"Shehbaz, Hamza won’t get parole extension, says Firdous","“Extending release on parole is not a part of the government’s policy,"" she says.","02 Dec, 2020 10:04am"
Pakistan,"Crown prince, two other Saudi royals issued permits for hunting houbara bustards",Sources say the hunters have been allocated certain areas in two provinces — Balochistan and Punjab.,"02 Dec, 2020 10:59am"
Pakistan,Show-cause notices issued over technical defects in Abbasi’s indictment,The indictment proceedings were supervised by a clerk in Karachi instead of a court registrar.,"02 Dec, 2020 11:02am"
Pakistan,Comments sought on CAA’s procedure to issue airworthiness certificate,PIA claims it is complying with all safety recommendations of the Aircraft Accident and Investigation Board.,"02 Dec, 2020 10:53am"
Newspaper,PCB Challengers seal T20 crown,The Challengers managed a modest total of 133-7 with Kainat Hafeez emerging as the top-scorer by making 31.,"02 Dec, 2020 11:09am"
Newspaper,Bach runs unopposed for second term as IOC president,"If re-elected, Thomas Bach’s term will end in 2025, a year after the Paris Olympics.","02 Dec, 2020 11:12am"
Newspaper,Hamilton devastated after positive Covid-19 test,"“I’m gutted not to be able to race this weekend,"" he says.","02 Dec, 2020 11:06am"
Newspaper,Olympic rings illuminated upon return to Tokyo Bay,"""The return of the rings should send a signal that the Games are indeed getting close,"" says Tokyo govt official.","02 Dec, 2020 11:05am"
Pakistan,Khursheed takes oath as GB chief minister,Prime Minister Imran Khan will take part in the oath-taking ceremony of a 14-member GB cabinet.,"02 Dec, 2020 09:24am"
Newspaper,PM wants action against opposition leaders over rallies,"""Action will be taken against those who instigate the public to violate health guidelines,"" says Shibli Faraz.","02 Dec, 2020 08:12am"
Pakistan,India raises issue of another spy’s detention,The IHC has sought a report from the attorney general by the next hearing on January 14.,"02 Dec, 2020 08:24am"
Newspaper,"Islamabad, Beijing vow to boost defence cooperation",Chinese Defence Minister Gen Wei Fenghe holds meetings with civilian leadership.,"02 Dec, 2020 08:19am"
Pakistan,"UNGA adopts Pakistan-led resolution on 'promotion of interreligious, intercultural dialogue'",The resolution stresses that the exercise of the right to freedom of expression must be subjected to legitimate restrictions.,"03 Dec, 2020 10:38pm"
World,"Prince Charles, PM Imran reaffirm close UK-Pakistan ties in telephone call",Prince of Wales conveys his condolences for the lives lost in Pakistan due to Covid-19.,"03 Dec, 2020 09:25pm"
Pakistan,Pakistan being subjected to 5th-generation warfare in 'massive way' but we are aware of threats: DG ISPR,"Maj Gen Babar Iftikhar says India attempting to destabilise Pakistan's economy, information system, army and intl' image.","03 Dec, 2020 08:05pm"
Pakistan,Pakistani project wins international award for shielding villages from natural disasters,"The project by AKAH Pakistan enables communities to build in safer areas, and better prepare for and respond to disasters.","03 Dec, 2020 06:02pm"
